taxid,date,name
933588,12/15/2016,MERITORIOUS POLICE DUTY
933588,5/29/2006,EXCELLENT POLICE DUTY
927822,2/5/2006,COMMENDATION
941300,7/19/2017,MERITORIOUS POLICE DUTY
941300,5/18/2014,HONORABLE MENTION
941300,5/18/2014,MEDAL FOR VALOR
941300,6/20/2013,EXCELLENT POLICE DUTY
941300,3/4/2008,EXCELLENT POLICE DUTY
932231,9/2/2017,EXCELLENT POLICE DUTY
932231,4/19/2017,MERITORIOUS POLICE DUTY
948173,7/7/2016,EXCELLENT POLICE DUTY
947962,8/27/2017,EXCELLENT POLICE DUTY
947962,8/27/2017,EXCELLENT POLICE DUTY
947962,9/11/2016,EXCELLENT POLICE DUTY
947962,9/11/2016,EXCELLENT POLICE DUTY
947962,9/5/2011,EXCELLENT POLICE DUTY
947962,9/5/2011,EXCELLENT POLICE DUTY
941301,7/17/2013,EXCELLENT POLICE DUTY
944301,12/6/2009,EXCELLENT POLICE DUTY
944301,8/25/2008,EXCELLENT POLICE DUTY
918669,2/21/2006,EXCELLENT POLICE DUTY
918669,2/7/2006,MERITORIOUS POLICE DUTY
918669,6/9/2005,EXCELLENT POLICE DUTY
918669,4/10/2005,COMMENDATION
918669,7/11/2004,EXCELLENT POLICE DUTY
918669,6/21/2001,EXCELLENT POLICE DUTY
918669,7/13/2000,EXCELLENT POLICE DUTY
918669,12/14/1999,MERITORIOUS POLICE DUTY
918669,10/30/1999,EXCELLENT POLICE DUTY
918669,9/6/1999,MERITORIOUS POLICE DUTY
918669,8/2/1999,MERITORIOUS POLICE DUTY
918669,8/30/1998,EXCELLENT POLICE DUTY
918669,7/19/1998,EXCELLENT POLICE DUTY
918669,12/21/1997,EXCELLENT POLICE DUTY
960115,11/23/2018,MERITORIOUS POLICE DUTY
951476,9/3/2015,MERITORIOUS POLICE DUTY
951476,6/16/2014,EXCELLENT POLICE DUTY
956362,4/2/2019,EXCELLENT POLICE DUTY
956362,1/28/2019,EXCELLENT POLICE DUTY
956362,6/5/2017,EXCELLENT POLICE DUTY
932232,10/12/2012,EXCELLENT POLICE DUTY
932232,6/9/2006,EXCELLENT POLICE DUTY
932232,4/8/2005,EXCELLENT POLICE DUTY
932232,4/1/2005,MERITORIOUS POLICE DUTY
955701,5/8/2020,EXCELLENT POLICE DUTY
955701,4/18/2020,MERITORIOUS POLICE DUTY
955701,3/25/2020,EXCELLENT POLICE DUTY
955701,11/17/2019,EXCELLENT POLICE DUTY
955701,8/9/2019,EXCELLENT POLICE DUTY
955701,7/25/2019,EXCELLENT POLICE DUTY
955701,7/1/2019,EXCELLENT POLICE DUTY
955701,5/3/2019,EXCELLENT POLICE DUTY
955701,8/29/2018,EXCELLENT POLICE DUTY
955701,6/30/2018,EXCELLENT POLICE DUTY
955701,6/30/2018,EXCELLENT POLICE DUTY
955701,7/5/2017,EXCELLENT POLICE DUTY
955701,4/15/2017,MERITORIOUS POLICE DUTY
955701,10/16/2016,EXCELLENT POLICE DUTY
955701,10/1/2016,EXCELLENT POLICE DUTY
955701,7/23/2016,EXCELLENT POLICE DUTY
949948,9/3/2015,EXCELLENT POLICE DUTY
949948,6/30/2015,EXCELLENT POLICE DUTY
949948,4/18/2015,EXCELLENT POLICE DUTY
949948,11/18/2014,EXCELLENT POLICE DUTY
949948,3/6/2014,MERITORIOUS POLICE DUTY
949948,12/21/2013,EXCELLENT POLICE DUTY
949948,11/6/2013,EXCELLENT POLICE DUTY
948580,12/8/2018,EXCELLENT POLICE DUTY
948580,5/3/2018,EXCELLENT POLICE DUTY
948580,10/23/2017,EXCELLENT POLICE DUTY
948580,5/7/2017,EXCELLENT POLICE DUTY
943994,2/17/2012,MERITORIOUS POLICE DUTY
943994,5/19/2010,EXCELLENT POLICE DUTY
943994,4/19/2010,EXCELLENT POLICE DUTY
943994,10/13/2009,EXCELLENT POLICE DUTY
952379,12/8/2015,MERITORIOUS POLICE DUTY
952379,11/16/2014,EXCELLENT POLICE DUTY
952379,10/29/2014,EXCELLENT POLICE DUTY
952379,7/4/2014,MERITORIOUS POLICE DUTY
939839,9/1/2009,EXCELLENT POLICE DUTY
955702,11/4/2017,MERITORIOUS POLICE DUTY
955702,10/22/2016,MERITORIOUS POLICE DUTY
955702,5/1/2015,MERITORIOUS POLICE DUTY
963828,12/13/2018,EXCELLENT POLICE DUTY
953614,9/3/2018,EXCELLENT POLICE DUTY
953614,12/23/2017,EXCELLENT POLICE DUTY
953614,1/1/2016,EXCELLENT POLICE DUTY
941303,12/5/2016,EXCELLENT POLICE DUTY
942890,4/16/2008,EXCELLENT POLICE DUTY
942890,2/3/2008,EXCELLENT POLICE DUTY
924857,8/28/2002,EXCELLENT POLICE DUTY
955703,1/2/2017,EXCELLENT POLICE DUTY
942923,5/5/2012,MERITORIOUS POLICE DUTY
942924,2/8/2017,MERITORIOUS POLICE DUTY
942924,2/7/2017,MERITORIOUS POLICE DUTY
942924,2/2/2014,MERITORIOUS POLICE DUTY
942924,1/1/2014,MERITORIOUS POLICE DUTY
942924,6/4/2013,MERITORIOUS POLICE DUTY
942924,5/12/2012,MERITORIOUS POLICE DUTY
942924,3/15/2012,EXCELLENT POLICE DUTY
942924,2/20/2012,EXCELLENT POLICE DUTY
949949,5/23/2012,EXCELLENT POLICE DUTY
936089,3/17/2006,EXCELLENT POLICE DUTY
936089,3/1/2006,COMMENDATION
924858,12/12/2013,EXCELLENT POLICE DUTY
924858,10/4/2013,EXCELLENT POLICE DUTY
924858,9/26/2013,EXCELLENT POLICE DUTY
924858,7/17/2013,EXCELLENT POLICE DUTY
924858,10/27/2003,EXCELLENT POLICE DUTY
924858,8/19/2003,EXCELLENT POLICE DUTY
924858,1/30/2003,MERITORIOUS POLICE DUTY
924858,6/25/2002,EXCELLENT POLICE DUTY
924858,4/2/2002,EXCELLENT POLICE DUTY
960117,9/15/2017,EXCELLENT POLICE DUTY
914653,6/25/2007,EXCELLENT POLICE DUTY
914653,9/16/2005,MERITORIOUS POLICE DUTY
914653,1/3/2000,EXCELLENT POLICE DUTY
914653,11/4/1999,EXCELLENT POLICE DUTY
914653,1/15/1999,EXCELLENT POLICE DUTY
914653,7/20/1998,EXCELLENT POLICE DUTY
914653,5/6/1998,EXCELLENT POLICE DUTY
914653,2/8/1998,EXCELLENT POLICE DUTY
914653,1/9/1998,EXCELLENT POLICE DUTY
914653,12/26/1997,EXCELLENT POLICE DUTY
958211,11/14/2020,EXCELLENT POLICE DUTY
958211,9/6/2020,EXCELLENT POLICE DUTY
958211,3/18/2020,MERITORIOUS POLICE DUTY
958211,2/7/2020,EXCELLENT POLICE DUTY
958211,2/9/2019,EXCELLENT POLICE DUTY
954454,6/18/2014,EXCELLENT POLICE DUTY
960118,12/29/2017,EXCELLENT POLICE DUTY
960118,12/29/2017,EXCELLENT POLICE DUTY
949950,10/23/2015,MERITORIOUS POLICE DUTY
949950,10/21/2015,EXCELLENT POLICE DUTY
949950,8/21/2015,EXCELLENT POLICE DUTY
949950,7/22/2015,EXCELLENT POLICE DUTY
949950,6/1/2015,EXCELLENT POLICE DUTY
949950,12/19/2014,MERITORIOUS POLICE DUTY
949950,10/1/2014,EXCELLENT POLICE DUTY
949950,8/20/2014,EXCELLENT POLICE DUTY
949950,5/23/2012,EXCELLENT POLICE DUTY
945448,11/1/2011,EXCELLENT POLICE DUTY
945448,12/27/2009,EXCELLENT POLICE DUTY
945448,11/19/2009,EXCELLENT POLICE DUTY
945448,8/21/2009,EXCELLENT POLICE DUTY
937932,3/7/2020,EXCELLENT POLICE DUTY
937932,2/20/2014,MERITORIOUS POLICE DUTY
960120,7/4/2019,EXCELLENT POLICE DUTY
960120,11/11/2017,MERITORIOUS POLICE DUTY
960120,8/20/2017,EXCELLENT POLICE DUTY
960120,8/20/2017,EXCELLENT POLICE DUTY
960120,6/29/2017,MERITORIOUS POLICE DUTY
942925,11/12/2015,MERITORIOUS POLICE DUTY
942925,6/17/2015,EXCELLENT POLICE DUTY
942925,8/28/2010,MERITORIOUS POLICE DUTY
965131,10/22/2019,EXCELLENT POLICE DUTY
946717,1/13/2013,EXCELLENT POLICE DUTY
907684,12/23/2006,EXCELLENT POLICE DUTY
907684,11/11/2006,EXCELLENT POLICE DUTY
907684,10/5/2006,EXCELLENT POLICE DUTY
907684,9/4/2006,EXCELLENT POLICE DUTY
907684,9/4/2006,EXCELLENT POLICE DUTY
907684,9/4/2006,EXCELLENT POLICE DUTY
907684,9/3/2006,EXCELLENT POLICE DUTY
907684,7/8/2006,EXCELLENT POLICE DUTY
907684,4/7/2006,EXCELLENT POLICE DUTY
907684,3/18/2006,MERITORIOUS POLICE DUTY
907684,9/14/2005,EXCELLENT POLICE DUTY
907684,9/5/2005,EXCELLENT POLICE DUTY
907684,9/4/2005,MERITORIOUS POLICE DUTY
